"stationid","replicate","sampledate","taxon","abundance"
"art-1",1,"7/21/2003","Adontorhina cyclia",5
"art-1",1,"7/21/2003","Ampelisca pacifica",3
"art-1",1,"7/21/2003","Amphichondrius granulatus",1
"art-1",1,"7/21/2003","Amphicteis scaphobranchiata",2
"art-1",1,"7/21/2003","Axinopsida serricata",1
"art-1",1,"7/21/2003","Bathymedon vulpeculus",1
"art-1",1,"7/21/2003","Campylaspis rubromaculata",1
"art-1",1,"7/21/2003","Cirrophorus branchiatus",1
"art-1",1,"7/21/2003","Eranno lagunae",1
"art-1",1,"7/21/2003","Halicoides synopiae",1
"art-1",1,"7/21/2003","Haliophasma geminatum",2
"art-1",1,"7/21/2003","Mayerella banksia",1
"art-1",1,"7/21/2003","Melinna oculata",1
"art-1",1,"7/21/2003","Nicippe tumida",1
"art-1",1,"7/21/2003","Paradiopatra parva",10
"art-1",1,"7/21/2003","Pectinaria californiensis",2
"art-1",1,"7/21/2003","Procampylaspis caenosa",1
"art-1",1,"7/21/2003","Rhodine bitorquata",1
"art-1",1,"7/21/2003","Scalibregma californicum",2
"art-1",1,"7/21/2003","Scleroconcha trituberculata",2
"art-1",1,"7/21/2003","Syrrhoe sp A",1
"art-2",1,"7/23/2003","Ampelisca brachycladus",1
"art-2",1,"7/23/2003","Ampelisca brevisimulata",1
"art-2",1,"7/23/2003","Ampharete finmarchica",1
"art-2",1,"7/23/2003","Ampharete labrops",10
"art-2",1,"7/23/2003","Amphideutopus oculatus",7
"art-2",1,"7/23/2003","Argissa hamatipes",2
"art-2",1,"7/23/2003","Chaetozone corona",2
"art-2",1,"7/23/2003","Diopatra splendidissima",1
"art-2",1,"7/23/2003","Euphilomedes carcharodonta",6
"art-2",1,"7/23/2003","Eurydice caudata",3
"art-2",1,"7/23/2003","Gastropteron pacificum",4
"art-2",1,"7/23/2003","Glycinde armigera",5
"art-2",1,"7/23/2003","Goniada littorea",2
"art-2",1,"7/23/2003","Hemilamprops californicus",6
"art-2",1,"7/23/2003","Kurtziella plumbea",1
"art-2",1,"7/23/2003","Macoma yoldiformis",1
"art-2",1,"7/23/2003","Metasychis disparidentatus",14
"art-2",1,"7/23/2003","Nephtys caecoides",4
"art-2",1,"7/23/2003","Oxyurostylis pacifica",1
"art-2",1,"7/23/2003","Parvilucina tenuisculpta",1
"art-2",1,"7/23/2003","Pholoe glabra",1
"art-2",1,"7/23/2003","Rictaxis punctocaelatus",2
"art-2",1,"7/23/2003","Sigalion spinosus",1
"art-2",1,"7/23/2003","Spiophanes duplex",3
"art-2",1,"7/23/2003","Sthenelanella uniformis",1
"art-2",1,"7/23/2003","Tellina modesta",1
"art-2",1,"7/23/2003","Tenonia priops",2
"art-2",1,"7/23/2003","Tiron biocellata",1
"art-3",1,"7/10/2008","Adontorhina cyclia",20
"art-3",1,"7/10/2008","Ampelisca agassizi",1
"art-3",1,"7/10/2008","Ampelisca brevisimulata",1
"art-3",1,"7/10/2008","Ampelisca pacifica",4
"art-3",1,"7/10/2008","Ampelisca pugetica",1
"art-3",1,"7/10/2008","Amphiura arcystata",1
"art-3",1,"7/10/2008","Axinopsida serricata",19
"art-3",1,"7/10/2008","Cooperella subdiaphana",1
"art-3",1,"7/10/2008","Cylichna diegensis",1
"art-3",1,"7/10/2008","Ennucula tenuis",1
"art-3",1,"7/10/2008","Euphilomedes producta",4
"art-3",1,"7/10/2008","Eyakia robusta",4
"art-3",1,"7/10/2008","Foxiphalus similis",2
"art-3",1,"7/10/2008","Glycinde armigera",1
"art-3",1,"7/10/2008","Kurtzia arteaga",1
"art-3",1,"7/10/2008","Lucinoma annulatum",1
"art-3",1,"7/10/2008","Maldane sarsi",1
"art-3",1,"7/10/2008","Myriowenia californiensis",1
"art-3",1,"7/10/2008","Parvilucina tenuisculpta",1
"art-3",1,"7/10/2008","Pectinaria californiensis",2
"art-3",1,"7/10/2008","Pholoe glabra",1
"art-3",1,"7/10/2008","Rhepoxynius bicuspidatus",7
"art-3",1,"7/10/2008","Travisia brevis",1
"art-4",1,"7/24/2008","Amaeana occidentalis",5
"art-4",1,"7/24/2008","Ampelisca agassizi",3
"art-4",1,"7/24/2008","Ampelisca brevisimulata",10
"art-4",1,"7/24/2008","Ampelisca pugetica",2
"art-4",1,"7/24/2008","Amphideutopus oculatus",4
"art-4",1,"7/24/2008","Anotomastus gordiodes",1
"art-4",1,"7/24/2008","Apistobranchus ornatus",1
"art-4",1,"7/24/2008","Caecognathia crenulatifrons",3
"art-4",1,"7/24/2008","Compsomyax subdiaphana",1
"art-4",1,"7/24/2008","Cooperella subdiaphana",2
"art-4",1,"7/24/2008","Cylichna diegensis",3
"art-4",1,"7/24/2008","Diopatra tridentata",1
"art-4",1,"7/24/2008","Eumida longicornuta",3
"art-4",1,"7/24/2008","Euphilomedes carcharodonta",21
"art-4",1,"7/24/2008","Foxiphalus obtusidens",20
"art-4",1,"7/24/2008","Glycinde armigera",12
"art-4",1,"7/24/2008","Listriella goleta",1
"art-4",1,"7/24/2008","Macoma yoldiformis",1
"art-4",1,"7/24/2008","Melinna oculata",4
"art-4",1,"7/24/2008","Metasychis disparidentatus",3
"art-4",1,"7/24/2008","Mooreonuphis nebulosa",10
"art-4",1,"7/24/2008","Nephtys caecoides",2
"art-4",1,"7/24/2008","Parvilucina tenuisculpta",7
"art-4",1,"7/24/2008","Pectinaria californiensis",4
"art-4",1,"7/24/2008","Pherusa neopapillata",1
"art-4",1,"7/24/2008","Pista moorei",4
"art-4",1,"7/24/2008","Rhepoxynius stenodes",1
"art-4",1,"7/24/2008","Rictaxis punctocaelatus",1
"art-4",1,"7/24/2008","Scalibregma californicum",3
"art-4",1,"7/24/2008","Scleroplax granulata",1
"art-4",1,"7/24/2008","Spiophanes duplex",24
"art-4",1,"7/24/2008","Sthenelanella uniformis",8
"art-4",1,"7/24/2008","Tellina idae",2
"art-4",1,"7/24/2008","Tellina modesta",2
"art-4",1,"7/24/2008","Tenonia priops",2
"art-4",1,"7/24/2008","Thyasira flexuosa",1
"art-4",1,"7/24/2008","Volvulella cylindrica",1
"art-4",1,"7/24/2008","Volvulella panamica",1
"art-5",1,"7/9/2008","Aglaja ocelligera",1
"art-5",1,"7/9/2008","Ampelisca agassizi",15
"art-5",1,"7/9/2008","Ampelisca brevisimulata",11
"art-5",1,"7/9/2008","Ampelisca milleri",2
"art-5",1,"7/9/2008","Ampelisca pugetica",3
"art-5",1,"7/9/2008","Ampelisciphotis podophthalma",3
"art-5",1,"7/9/2008","Amphideutopus oculatus",14
"art-5",1,"7/9/2008","Araphura breviaria",2
"art-5",1,"7/9/2008","Caecognathia crenulatifrons",17
"art-5",1,"7/9/2008","Chaetozone corona",2
"art-5",1,"7/9/2008","Cooperella subdiaphana",9
"art-5",1,"7/9/2008","Diopatra ornata",4
"art-5",1,"7/9/2008","Diopatra tridentata",1
"art-5",1,"7/9/2008","Euphilomedes carcharodonta",20
"art-5",1,"7/9/2008","Euphysa sp A",1
"art-5",1,"7/9/2008","Eupolymnia heterobranchia",3
"art-5",1,"7/9/2008","Eusyllis transecta",2
"art-5",1,"7/9/2008","Exogone dwisula",1
"art-5",1,"7/9/2008","Glottidia albida",3
"art-5",1,"7/9/2008","Glycinde armigera",1
"art-5",1,"7/9/2008","Haliophasma geminatum",5
"art-5",1,"7/9/2008","Hamatoscalpellum californicum",25
"art-5",1,"7/9/2008","Hemilamprops californicus",2
"art-5",1,"7/9/2008","Laonice cirrata",1
"art-5",1,"7/9/2008","Metasychis disparidentatus",12
"art-5",1,"7/9/2008","Metopa dawsoni",1
"art-5",1,"7/9/2008","Mooreonuphis nebulosa",4
"art-5",1,"7/9/2008","Nephtys caecoides",4
"art-5",1,"7/9/2008","Ophiuroconis bispinosa",1
"art-5",1,"7/9/2008","Parvilucina tenuisculpta",1
"art-5",1,"7/9/2008","Pherusa neopapillata",4
"art-5",1,"7/9/2008","Pleusymtes subglaber",1
"art-5",1,"7/9/2008","Podarkeopsis glabrus",1
"art-5",1,"7/9/2008","Rhepoxynius menziesi",5
"art-5",1,"7/9/2008","Rhepoxynius stenodes",2
"art-5",1,"7/9/2008","Rictaxis punctocaelatus",4
"art-5",1,"7/9/2008","Solamen columbianum",1
"art-5",1,"7/9/2008","Spiophanes duplex",22
"art-5",1,"7/9/2008","Sthenelanella uniformis",1
"art-5",1,"7/9/2008","Tellina modesta",6
"art-6",1,"8/12/2013","Aglaja ocelligera",1
"art-6",1,"8/12/2013","Ampelisca brevisimulata",3
"art-6",1,"8/12/2013","Ampelisca careyi",5
"art-6",1,"8/12/2013","Ampelisca pacifica",1
"art-6",1,"8/12/2013","Campylaspis rubromaculata",1
"art-6",1,"8/12/2013","Chloeia pinnata",1
"art-6",1,"8/12/2013","Cylichna diegensis",1
"art-6",1,"8/12/2013","Decamastus gracilis",5
"art-6",1,"8/12/2013","Euphilomedes carcharodonta",1
"art-6",1,"8/12/2013","Euphilomedes producta",15
"art-6",1,"8/12/2013","Glycera americana",1
"art-6",1,"8/12/2013","Glycinde armigera",2
"art-6",1,"8/12/2013","Maldane sarsi",1
"art-6",1,"8/12/2013","Nephtys ferruginea",3
"art-6",1,"8/12/2013","Nicippe tumida",1
"art-6",1,"8/12/2013","Paradiopatra parva",2
"art-6",1,"8/12/2013","Parvilucina tenuisculpta",2
"art-6",1,"8/12/2013","Rhabdus rectius",2
"art-6",1,"8/12/2013","Rhepoxynius bicuspidatus",6
"art-6",1,"8/12/2013","Rictaxis punctocaelatus",4
"art-6",1,"8/12/2013","Spiophanes duplex",3
"art-6",1,"8/12/2013","Thyasira flexuosa",1
"art-6",1,"8/12/2013","Travisia brevis",1
"art-6",1,"8/12/2013","Volvulella cylindrica",1
"art-7",1,"9/11/2018","Spiophanes duplex",29
"art-7",1,"9/11/2018","Scalibregma californicum",10
"art-7",1,"9/11/2018","Goniada maculata",8
"art-7",1,"9/11/2018","Ampelisca pugetica",7
"art-7",1,"9/11/2018","Ampelisca brevisimulata",5
"art-7",1,"9/11/2018","Compsomyax subdiaphana",5
"art-7",1,"9/11/2018","Glottidia albida",5
"art-7",1,"9/11/2018","Parvilucina tenuisculpta",4
"art-7",1,"9/11/2018","Poecilochaetus johnsoni",4
"art-7",1,"9/11/2018","Ampharete finmarchica",3
"art-7",1,"9/11/2018","Delectopecten vancouverensis",3
"art-7",1,"9/11/2018","Euphilomedes producta",3
"art-7",1,"9/11/2018","Pectinaria californiensis",3
"art-7",1,"9/11/2018","Ampelisca agassizi",2
"art-7",1,"9/11/2018","Ampelisca careyi",2
"art-7",1,"9/11/2018","Axinopsida serricata",2
"art-7",1,"9/11/2018","Ennucula tenuis",2
"art-7",1,"9/11/2018","Gymnonereis crosslandi",2
"art-7",1,"9/11/2018","Listriella goleta",2
"art-7",1,"9/11/2018","Macoma yoldiformis",2
"art-7",1,"9/11/2018","Thyasira flexuosa",2
"art-7",1,"9/11/2018","Acteocina culcitella",1
"art-7",1,"9/11/2018","Ampelisca pacifica",1
"art-7",1,"9/11/2018","Araphura breviaria",1
"art-7",1,"9/11/2018","Cooperella subdiaphana",1
"art-7",1,"9/11/2018","Crenella decussata",1
"art-7",1,"9/11/2018","Cylichna diegensis",1
"art-7",1,"9/11/2018","Diastylis californica",1
"art-7",1,"9/11/2018","Eumida longicornuta",1
"art-7",1,"9/11/2018","Kurtzia arteaga",1
"art-7",1,"9/11/2018","Listriella eriopisa",1
"art-7",1,"9/11/2018","Melinna oculata",1
"art-7",1,"9/11/2018","Nephtys ferruginea",1
"art-7",1,"9/11/2018","Paradiopatra parva",1
"art-7",1,"9/11/2018","Spiophanes wigleyi",1
"art-7",1,"9/11/2018","Travisia brevis",1
"art-8",1,"8/18/1994","Ampelisca brevisimulata",2
"art-8",1,"8/18/1994","Ampelisca pacifica",3
"art-8",1,"8/18/1994","Ampelisca pugetica",1
"art-8",1,"8/18/1994","Amphicteis scaphobranchiata",3
"art-8",1,"8/18/1994","Amphideutopus oculatus",2
"art-8",1,"8/18/1994","Araphura breviaria",1
"art-8",1,"8/18/1994","Byblis veleronis",3
"art-8",1,"8/18/1994","Clymenura gracilis",1
"art-8",1,"8/18/1994","Compsomyax subdiaphana",1
"art-8",1,"8/18/1994","Diopatra tridentata",1
"art-8",1,"8/18/1994","Eranno lagunae",1
"art-8",1,"8/18/1994","Gymnonereis crosslandi",6
"art-8",1,"8/18/1994","Hesperonoe laevis",5
"art-8",1,"8/18/1994","Leptopecten latiauratus",1
"art-8",1,"8/18/1994","Listriella goleta",3
"art-8",1,"8/18/1994","Listriolobus pelodes",5
"art-8",1,"8/18/1994","Lyonsia californica",1
"art-8",1,"8/18/1994","Maldane sarsi",4
"art-8",1,"8/18/1994","Molpadia intermedia",1
"art-8",1,"8/18/1994","Ophiuroconis bispinosa",1
"art-8",1,"8/18/1994","Paradiopatra parva",1
"art-8",1,"8/18/1994","Pectinaria californiensis",5
"art-8",1,"8/18/1994","Pholoe glabra",2
"art-8",1,"8/18/1994","Pista moorei",1
"art-8",1,"8/18/1994","Pleusymtes subglaber",1
"art-8",1,"8/18/1994","Rhodine bitorquata",1
"art-8",1,"8/18/1994","Saxicavella nybakkeni",1
"art-8",1,"8/18/1994","Saxicavella pacifica",8
"art-8",1,"8/18/1994","Spiophanes duplex",9
"art-8",1,"8/18/1994","Thyasira flexuosa",1
"art-8",1,"8/18/1994","Volvulella panamica",1
"art-9",1,"8/17/1994","Amaeana occidentalis",1
"art-9",1,"8/17/1994","Ampelisca agassizi",1
"art-9",1,"8/17/1994","Ampelisca brevisimulata",1
"art-9",1,"8/17/1994","Ampelisca pacifica",2
"art-9",1,"8/17/1994","Ampelisca pugetica",1
"art-9",1,"8/17/1994","Amphideutopus oculatus",6
"art-9",1,"8/17/1994","Axinopsida serricata",1
"art-9",1,"8/17/1994","Byblis veleronis",3
"art-9",1,"8/17/1994","Compsomyax subdiaphana",2
"art-9",1,"8/17/1994","Cooperella subdiaphana",2
"art-9",1,"8/17/1994","Glottidia albida",5
"art-9",1,"8/17/1994","Glycera americana",2
"art-9",1,"8/17/1994","Gymnonereis crosslandi",2
"art-9",1,"8/17/1994","Listriella goleta",7
"art-9",1,"8/17/1994","Listriolobus pelodes",5
"art-9",1,"8/17/1994","Lyonsia californica",2
"art-9",1,"8/17/1994","Macoma yoldiformis",1
"art-9",1,"8/17/1994","Metasychis disparidentatus",2
"art-9",1,"8/17/1994","Parvilucina tenuisculpta",3
"art-9",1,"8/17/1994","Pectinaria californiensis",7
"art-9",1,"8/17/1994","Pholoe glabra",2
"art-9",1,"8/17/1994","Pilargis berkeleyae",1
"art-9",1,"8/17/1994","Pista moorei",2
"art-9",1,"8/17/1994","Saxicavella nybakkeni",2
"art-9",1,"8/17/1994","Saxicavella pacifica",4
"art-9",1,"8/17/1994","Sinum scopulosum",1
"art-9",1,"8/17/1994","Spiophanes duplex",11
"art-9",1,"8/17/1994","Sthenelanella uniformis",2
"art-9",1,"8/17/1994","Stylatula elongata",1
"art-9",1,"8/17/1994","Volvulella panamica",7
"art-10",1,"8/21/1994","Ampelisca brevisimulata",10
"art-10",1,"8/21/1994","Ampelisca careyi",2
"art-10",1,"8/21/1994","Ampelisca pacifica",1
"art-10",1,"8/21/1994","Amphicteis scaphobranchiata",2
"art-10",1,"8/21/1994","Axinopsida serricata",2
"art-10",1,"8/21/1994","Clymenura gracilis",3
"art-10",1,"8/21/1994","Eudorella pacifica",2
"art-10",1,"8/21/1994","Euphilomedes producta",39
"art-10",1,"8/21/1994","Glycinde armigera",5
"art-10",1,"8/21/1994","Lytechinus pictus",1
"art-10",1,"8/21/1994","Maldane sarsi",2
"art-10",1,"8/21/1994","Metasychis disparidentatus",3
"art-10",1,"8/21/1994","Microspio pigmentata",4
"art-10",1,"8/21/1994","Nephtys caecoides",1
"art-10",1,"8/21/1994","Nephtys ferruginea",5
"art-10",1,"8/21/1994","Nicippe tumida",1
"art-10",1,"8/21/1994","Pachynus barnardi",1
"art-10",1,"8/21/1994","Paradiopatra parva",3
"art-10",1,"8/21/1994","Parvilucina tenuisculpta",6
"art-10",1,"8/21/1994","Pectinaria californiensis",11
"art-10",1,"8/21/1994","Pholoe glabra",11
"art-10",1,"8/21/1994","Phyllochaetopterus limicolus",1
"art-10",1,"8/21/1994","Rhepoxynius bicuspidatus",17
"art-10",1,"8/21/1994","Rhodine bitorquata",3
"art-10",1,"8/21/1994","Spiophanes duplex",102
"art-10",1,"8/21/1994","Travisia brevis",1
