"stationid","sampledate","latitude","longitude","depth","replicate","taxon","abundance"
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Adontorhina cyclia",5
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Ampelisca pacifica",3
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Amphichondrius granulatus",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Amphicteis scaphobranchiata",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Axinopsida serricata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Bathymedon vulpeculus",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Campylaspis rubromaculata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Cirrophorus branchiatus",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Eranno lagunae",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Halicoides synopiae",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Haliophasma geminatum",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Mayerella banksia",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Melinna oculata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Nicippe tumida",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Paradiopatra parva",10
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Pectinaria californiensis",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Procampylaspis caenosa",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Rhodine bitorquata",1
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Scalibregma californicum",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Scleroconcha trituberculata",2
"art-1","7/21/2003",32.58585,-117.341083,182,1,"Syrrhoe sp A",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampelisca brachycladus",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampelisca brevisimulata",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampharete finmarchica",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Ampharete labrops",10
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Amphideutopus oculatus",7
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Argissa hamatipes",2
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Chaetozone corona",2
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Diopatra splendidissima",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Euphilomedes carcharodonta",6
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Eurydice caudata",3
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Gastropteron pacificum",4
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Glycinde armigera",5
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Goniada littorea",2
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Hemilamprops californicus",6
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Kurtziella plumbea",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Macoma yoldiformis",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Metasychis disparidentatus",14
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Nephtys caecoides",4
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Oxyurostylis pacifica",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Parvilucina tenuisculpta",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Pholoe glabra",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Rictaxis punctocaelatus",2
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Sigalion spinosus",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Spiophanes duplex",3
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Sthenelanella uniformis",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Tellina modesta",1
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Tenonia priops",2
"art-2","7/23/2003",34.183,-119.353792,27.5,1,"Tiron biocellata",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Adontorhina cyclia",20
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Ampelisca agassizi",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Ampelisca brevisimulata",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Ampelisca pacifica",4
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Ampelisca pugetica",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Amphiura arcystata",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Axinopsida serricata",19
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Cooperella subdiaphana",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Cylichna diegensis",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Ennucula tenuis",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Euphilomedes producta",4
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Eyakia robusta",4
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Foxiphalus similis",2
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Glycinde armigera",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Kurtzia arteaga",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Lucinoma annulatum",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Maldane sarsi",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Myriowenia californiensis",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Parvilucina tenuisculpta",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Pectinaria californiensis",2
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Pholoe glabra",1
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Rhepoxynius bicuspidatus",7
"art-3","7/10/2008",32.80746,-117.34415,85,1,"Travisia brevis",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Amaeana occidentalis",5
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Ampelisca agassizi",3
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Ampelisca brevisimulata",10
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Ampelisca pugetica",2
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Amphideutopus oculatus",4
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Anotomastus gordiodes",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Apistobranchus ornatus",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Caecognathia crenulatifrons",3
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Compsomyax subdiaphana",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Cooperella subdiaphana",2
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Cylichna diegensis",3
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Diopatra tridentata",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Eumida longicornuta",3
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Euphilomedes carcharodonta",21
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Foxiphalus obtusidens",20
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Glycinde armigera",12
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Listriella goleta",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Macoma yoldiformis",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Melinna oculata",4
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Metasychis disparidentatus",3
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Mooreonuphis nebulosa",10
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Nephtys caecoides",2
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Parvilucina tenuisculpta",7
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Pectinaria californiensis",4
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Pherusa neopapillata",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Pista moorei",4
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Rhepoxynius stenodes",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Rictaxis punctocaelatus",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Scalibregma californicum",3
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Scleroplax granulata",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Spiophanes duplex",24
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Sthenelanella uniformis",8
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Tellina idae",2
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Tellina modesta",2
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Tenonia priops",2
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Thyasira flexuosa",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Volvulella cylindrica",1
"art-4","7/24/2008",33.69541,-118.29602,28,1,"Volvulella panamica",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Aglaja ocelligera",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Ampelisca agassizi",15
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Ampelisca brevisimulata",11
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Ampelisca milleri",2
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Ampelisca pugetica",3
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Ampelisciphotis podophthalma",3
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Amphideutopus oculatus",14
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Araphura breviaria",2
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Caecognathia crenulatifrons",17
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Chaetozone corona",2
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Cooperella subdiaphana",9
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Diopatra ornata",4
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Diopatra tridentata",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Euphilomedes carcharodonta",20
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Euphysa sp A",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Eupolymnia heterobranchia",3
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Eusyllis transecta",2
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Exogone dwisula",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Glottidia albida",3
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Glycinde armigera",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Haliophasma geminatum",5
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Hamatoscalpellum californicum",25
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Hemilamprops californicus",2
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Laonice cirrata",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Metasychis disparidentatus",12
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Metopa dawsoni",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Mooreonuphis nebulosa",4
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Nephtys caecoides",4
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Ophiuroconis bispinosa",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Parvilucina tenuisculpta",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Pherusa neopapillata",4
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Pleusymtes subglaber",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Podarkeopsis glabrus",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Rhepoxynius menziesi",5
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Rhepoxynius stenodes",2
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Rictaxis punctocaelatus",4
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Solamen columbianum",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Spiophanes duplex",22
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Sthenelanella uniformis",1
"art-5","7/9/2008",34.02365,-118.59313,24,1,"Tellina modesta",6
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Aglaja ocelligera",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Ampelisca brevisimulata",3
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Ampelisca careyi",5
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Ampelisca pacifica",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Campylaspis rubromaculata",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Chloeia pinnata",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Cylichna diegensis",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Decamastus gracilis",5
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Euphilomedes carcharodonta",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Euphilomedes producta",15
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Glycera americana",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Glycinde armigera",2
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Maldane sarsi",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Nephtys ferruginea",3
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Nicippe tumida",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Paradiopatra parva",2
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Parvilucina tenuisculpta",2
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Rhabdus rectius",2
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Rhepoxynius bicuspidatus",6
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Rictaxis punctocaelatus",4
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Spiophanes duplex",3
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Thyasira flexuosa",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Travisia brevis",1
"art-6","8/12/2013",33.982233,-118.81395,169,1,"Volvulella cylindrica",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Spiophanes duplex",29
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Scalibregma californicum",10
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Goniada maculata",8
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ampelisca pugetica",7
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ampelisca brevisimulata",5
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Compsomyax subdiaphana",5
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Glottidia albida",5
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Parvilucina tenuisculpta",4
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Poecilochaetus johnsoni",4
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ampharete finmarchica",3
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Delectopecten vancouverensis",3
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Euphilomedes producta",3
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Pectinaria californiensis",3
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ampelisca agassizi",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ampelisca careyi",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Axinopsida serricata",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ennucula tenuis",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Gymnonereis crosslandi",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Listriella goleta",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Macoma yoldiformis",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Thyasira flexuosa",2
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Acteocina culcitella",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Ampelisca pacifica",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Araphura breviaria",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Cooperella subdiaphana",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Crenella decussata",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Cylichna diegensis",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Diastylis californica",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Eumida longicornuta",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Kurtzia arteaga",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Listriella eriopisa",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Melinna oculata",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Nephtys ferruginea",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Paradiopatra parva",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Spiophanes wigleyi",1
"art-7","9/11/2018",33.51278483,-117.7718262,42,1,"Travisia brevis",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Ampelisca brevisimulata",2
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Ampelisca pacifica",3
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Ampelisca pugetica",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Amphicteis scaphobranchiata",3
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Amphideutopus oculatus",2
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Araphura breviaria",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Byblis veleronis",3
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Clymenura gracilis",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Compsomyax subdiaphana",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Diopatra tridentata",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Eranno lagunae",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Gymnonereis crosslandi",6
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Hesperonoe laevis",5
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Leptopecten latiauratus",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Listriella goleta",3
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Listriolobus pelodes",5
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Lyonsia californica",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Maldane sarsi",4
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Molpadia intermedia",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Ophiuroconis bispinosa",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Paradiopatra parva",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Pectinaria californiensis",5
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Pholoe glabra",2
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Pista moorei",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Pleusymtes subglaber",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Rhodine bitorquata",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Saxicavella nybakkeni",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Saxicavella pacifica",8
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Spiophanes duplex",9
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Thyasira flexuosa",1
"art-8","8/18/1994",34.386733,-119.8142,56,1,"Volvulella panamica",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Amaeana occidentalis",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Ampelisca agassizi",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Ampelisca brevisimulata",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Ampelisca pacifica",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Ampelisca pugetica",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Amphideutopus oculatus",6
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Axinopsida serricata",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Byblis veleronis",3
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Compsomyax subdiaphana",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Cooperella subdiaphana",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Glottidia albida",5
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Glycera americana",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Gymnonereis crosslandi",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Listriella goleta",7
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Listriolobus pelodes",5
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Lyonsia californica",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Macoma yoldiformis",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Metasychis disparidentatus",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Parvilucina tenuisculpta",3
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Pectinaria californiensis",7
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Pholoe glabra",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Pilargis berkeleyae",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Pista moorei",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Saxicavella nybakkeni",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Saxicavella pacifica",4
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Sinum scopulosum",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Spiophanes duplex",11
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Sthenelanella uniformis",2
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Stylatula elongata",1
"art-9","8/17/1994",34.36495,-119.54235,33,1,"Volvulella panamica",7
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Ampelisca brevisimulata",10
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Ampelisca careyi",2
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Ampelisca pacifica",1
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Amphicteis scaphobranchiata",2
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Axinopsida serricata",2
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Clymenura gracilis",3
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Eudorella pacifica",2
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Euphilomedes producta",39
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Glycinde armigera",5
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Lytechinus pictus",1
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Maldane sarsi",2
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Metasychis disparidentatus",3
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Microspio pigmentata",4
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Nephtys caecoides",1
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Nephtys ferruginea",5
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Nicippe tumida",1
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Pachynus barnardi",1
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Paradiopatra parva",3
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Parvilucina tenuisculpta",6
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Pectinaria californiensis",11
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Pholoe glabra",11
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Phyllochaetopterus limicolus",1
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Rhepoxynius bicuspidatus",17
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Rhodine bitorquata",3
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Spiophanes duplex",102
"art-10","8/21/1994",34.205267,-119.506367,94,1,"Travisia brevis",1
