stationid,replicate,sampledate,taxon,abundance,exclude
djg-001,1,7/6/1975,NoOrganismsPresent,0,No
djg-002,1,9/26/2023,Cuspidaria parapodema,1,No
djg-002,1,9/26/2023,Tellina carpenteri,8,No
djg-002,1,9/26/2023,Axinopsida serricata,1,No
djg-002,1,9/26/2023,Spatangoida,3,No
djg-002,1,9/26/2023,Amphipoda,2,No
djg-002,1,9/26/2023,Ampelisca hancocki,1,No
djg-002,1,9/26/2023,Ampelisca sp,4,No
djg-002,1,9/26/2023,Tritella tenuissima,1,No
djg-002,1,9/26/2023,Photis sp,4,No
djg-002,1,9/26/2023,Hippomedon sp,5,No
djg-002,1,9/26/2023,Rhepoxynius bicuspidatus,3,No
djg-002,1,9/26/2023,Diastylis crenellata,2,No
BOEM23-002,1,9/26/2023,Westwoodilla tone,1,No
BOEM23-002,1,9/26/2023,Foxiphalus cognatus,2,No
BOEM23-001,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-001,1,9/26/2023,Tellina carpenteri,8,No
BOEM23-001,1,9/26/2023,Axinopsida serricata,1,No
BOEM23-001,1,9/26/2023,Spatangoida,3,No
BOEM23-001,1,9/26/2023,Amphipoda,2,No
BOEM23-001,1,9/26/2023,Ampelisca hancocki,1,No
BOEM23-001,1,9/26/2023,Ampelisca sp,4,No
BOEM23-001,1,9/26/2023,Tritella tenuissima,1,No
BOEM23-001,1,9/26/2023,Photis sp,4,No
BOEM23-001,1,9/26/2023,Hippomedon sp,5,No
BOEM23-001,1,9/26/2023,Rhepoxynius bicuspidatus,3,No
BOEM23-001,1,9/26/2023,Diastylis crenellata,2,No
BOEM23-001,1,9/26/2023,Eudorella truncatula,1,No
BOEM23-001,1,9/26/2023,Eudorellopsis longirostris,1,No
BOEM23-001,1,9/26/2023,Procampylaspis caenosa,1,No
BOEM23-001,1,9/26/2023,Haliophasma geminata,2,No
BOEM23-001,1,9/26/2023,Caecognathia crenulatifrons,3,No
BOEM23-001,1,9/26/2023,Ilyarachna acarina,1,No
BOEM23-001,1,9/26/2023,Munnogonium tillerae,3,No
BOEM23-001,1,9/26/2023,Tanaella propinquus,5,No
BOEM23-001,1,9/26/2023,Amphiodia digitata,12,No
BOEM23-001,1,9/26/2023,Ophiura luetkenii,3,No
BOEM23-001,1,9/26/2023,Podocopa,1,No
BOEM23-001,1,9/26/2023,Euphilomedes producta,19,No
BOEM23-001,1,9/26/2023,Decamastus gracilis,10,No
BOEM23-001,1,9/26/2023,Mediomastus sp,3,No
BOEM23-001,1,9/26/2023,Notomastus latericeus,1,No
BOEM23-001,1,9/26/2023,Euclymeninae,8,Yes
BOEM23-001,1,9/26/2023,Euclymeninae sp A,2,No
BOEM23-001,1,9/26/2023,Nephtys ferruginea,3,No
BOEM23-001,1,9/26/2023,Onuphidae,1,Yes
BOEM23-001,1,9/26/2023,Mooreonuphis segmentispadix,51,No
BOEM23-001,1,9/26/2023,Pholoe glabra,1,No
BOEM23-001,1,9/26/2023,Malmgreniella baschi,1,No
BOEM23-001,1,9/26/2023,Subadyte mexicana,1,No
BOEM23-001,1,9/26/2023,Syllis heterochaeta,1,No
BOEM23-001,1,9/26/2023,Melinna oculata,2,No
BOEM23-001,1,9/26/2023,Spiochaetopterus costarum Cmplx,3,No
BOEM23-001,1,9/26/2023,Cirratulidae,4,No
BOEM23-001,1,9/26/2023,Pectinaria californiensis,1,No
BOEM23-001,1,9/26/2023,Sabellidae,2,No
BOEM23-001,1,9/26/2023,Paraprionospio alata,1,No
BOEM23-001,1,9/26/2023,Prionospio sp,4,No
BOEM23-001,1,9/26/2023,Spiophanes berkeleyorum,11,No
BOEM23-001,1,9/26/2023,Terebellidae,7,Yes
BOEM23-001,1,9/26/2023,Phisidia sanctaemariae,32,No
BOEM23-001,1,9/26/2023,Polycirrus sp,1,No
BOEM23-001,1,9/26/2023,Levinsenia gracilis,1,No
BOEM23-002,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-002,1,9/26/2023,Amygdalum pallidulum,1,No
BOEM23-002,1,9/26/2023,Parvilucina tenuisculpta,1,No
BOEM23-002,1,9/26/2023,Tellina carpenteri,10,No
BOEM23-002,1,9/26/2023,Thyasira flexuosa,1,No
BOEM23-002,1,9/26/2023,Ampelisca sp,2,No
BOEM23-002,1,9/26/2023,Tritella tenuissima,1,No
BOEM23-002,1,9/26/2023,Photis sp,1,No
BOEM23-002,1,9/26/2023,Hippomedon sp,5,No
BOEM23-002,1,9/26/2023,Rhepoxynius bicuspidatus,2,No
BOEM23-002,1,9/26/2023,Anonyx lilljeborgi,3,No
BOEM23-002,1,9/26/2023,Diastylis crenellata,4,No
BOEM23-002,1,9/26/2023,Eudorella truncatula,1,No
BOEM23-002,1,9/26/2023,Haliophasma geminata,3,No
BOEM23-002,1,9/26/2023,Gnathiidae,1,No
BOEM23-002,1,9/26/2023,Munnogonium tillerae,1,No
BOEM23-002,1,9/26/2023,Nebalia pugettensis Cmplx,1,No
BOEM23-002,1,9/26/2023,Tanaopsis cadieni,1,No
BOEM23-002,1,9/26/2023,Amphiodia digitata,6,No
BOEM23-002,1,9/26/2023,Euphilomedes producta,1,No
BOEM23-002,1,9/26/2023,Notomastus latericeus,2,No
BOEM23-002,1,9/26/2023,Praxillella pacifica,7,No
BOEM23-002,1,9/26/2023,Glycera oxycephala,3,No
BOEM23-002,1,9/26/2023,Lumbrineris latreilli,1,No
BOEM23-002,1,9/26/2023,Mooreonuphis segmentispadix,25,No
BOEM23-002,1,9/26/2023,Eulalia sp,1,No
BOEM23-002,1,9/26/2023,Phyllodoce groenlandica,2,No
BOEM23-002,1,9/26/2023,Subadyte mexicana,1,No
BOEM23-002,1,9/26/2023,Spiochaetopterus costarum Cmplx,24,No
BOEM23-002,1,9/26/2023,Aphelochaeta glandaria Cmplx,2,No
BOEM23-002,1,9/26/2023,Pectinaria californiensis,2,No
BOEM23-002,1,9/26/2023,Dipolydora socialis,1,No
BOEM23-002,1,9/26/2023,Paraprionospio alata,2,No
BOEM23-002,1,9/26/2023,Prionospio dubia,1,No
BOEM23-002,1,9/26/2023,Prionospio sp,4,Yes
BOEM23-002,1,9/26/2023,Spiophanes berkeleyorum,3,No
BOEM23-002,1,9/26/2023,Terebellidae,2,Yes
BOEM23-002,1,9/26/2023,Pista wui,6,No
BOEM23-002,1,9/26/2023,Cadulus californicus,4,No
BOEM23-002,1,9/26/2023,Phascolion sp A,1,No
BOEM23-003,1,9/26/2023,Astropecten californicus,2,No
BOEM23-003,1,9/26/2023,Bivalvia,2,No
BOEM23-003,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-003,1,9/26/2023,Amygdalum pallidulum,1,No
BOEM23-003,1,9/26/2023,Parvilucina tenuisculpta,2,No
BOEM23-003,1,9/26/2023,Tellina carpenteri,7,No
BOEM23-003,1,9/26/2023,Brissopsis pacifica,1,No
BOEM23-003,1,9/26/2023,Cylichna diegensis,1,No
BOEM23-003,1,9/26/2023,Volvulella cylindrica,1,No
BOEM23-003,1,9/26/2023,Ampelisca hancocki,3,No
BOEM23-003,1,9/26/2023,Byblis veleronis,1,No
BOEM23-003,1,9/26/2023,Acidostoma hancocki,1,No
BOEM23-003,1,9/26/2023,Hippomedon sp,4,No
BOEM23-003,1,9/26/2023,Westwoodilla tone,3,No
BOEM23-003,1,9/26/2023,Halicoides synopiae,1,No
BOEM23-003,1,9/26/2023,Rhepoxynius bicuspidatus,3,No
BOEM23-003,1,9/26/2023,Rhepoxynius daboius,2,No
BOEM23-003,1,9/26/2023,Anonyx lilljeborgi,1,No
BOEM23-003,1,9/26/2023,Diastylis crenellata,10,No
BOEM23-003,1,9/26/2023,Eudorella truncatula,1,No
BOEM23-003,1,9/26/2023,Leucon magnadentatus,1,No
BOEM23-003,1,9/26/2023,Haliophasma geminata,1,No
BOEM23-003,1,9/26/2023,Amphipholis squamata,1,No
BOEM23-003,1,9/26/2023,Euphilomedes carcharodonta,1,No
BOEM23-003,1,9/26/2023,Mediomastus sp,27,No
BOEM23-003,1,9/26/2023,Notomastus latericeus,4,No
BOEM23-003,1,9/26/2023,Maldanidae,2,Yes
BOEM23-003,1,9/26/2023,Maldane sarsi,3,No
BOEM23-003,1,9/26/2023,Praxillella pacifica,5,No
BOEM23-005,1,9/26/2023,Falcidens longus,1,No
BOEM23-003,1,9/26/2023,Paranaitis polynoides,1,No
BOEM23-003,1,9/26/2023,Nephtys caecoides,1,No
BOEM23-003,1,9/26/2023,Onuphidae,1,Yes
BOEM23-003,1,9/26/2023,Mooreonuphis segmentispadix,76,No
BOEM23-003,1,9/26/2023,Parexogone molesta,1,No
BOEM23-003,1,9/26/2023,Spiochaetopterus costarum Cmplx,54,No
BOEM23-003,1,9/26/2023,Cirratulidae,1,No
BOEM23-003,1,9/26/2023,Magelona berkeleyi,1,No
BOEM23-003,1,9/26/2023,Pectinaria californiensis,4,No
BOEM23-003,1,9/26/2023,Paraprionospio alata,10,No
BOEM23-003,1,9/26/2023,Spiophanes berkeleyorum,13,No
BOEM23-003,1,9/26/2023,Aricidea (Acmira) catherinae,1,No
BOEM23-003,1,9/26/2023,Antalis pretiosa,1,No
BOEM23-003,1,9/26/2023,Phascolion sp A,1,No
BOEM23-004,1,9/26/2023,Tubulanidae,3,No
BOEM23-004,1,9/26/2023,Lineus bilineatus,1,No
BOEM23-004,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-004,1,9/26/2023,Parvilucina tenuisculpta,5,No
BOEM23-004,1,9/26/2023,Tellina carpenteri,7,No
BOEM23-004,1,9/26/2023,Thyasira flexuosa,3,No
BOEM23-004,1,9/26/2023,Pentamera populifera,1,No
BOEM23-004,1,9/26/2023,Ampelisca pacifica,1,No
BOEM23-004,1,9/26/2023,Ampelisca sp,2,No
BOEM23-004,1,9/26/2023,Westwoodilla tone,3,No
BOEM23-004,1,9/26/2023,Rhepoxynius bicuspidatus,1,No
BOEM23-004,1,9/26/2023,Bruzelia tuberculata,2,No
BOEM23-004,1,9/26/2023,Diastylis crenellata,3,No
BOEM23-004,1,9/26/2023,Diastylis pellucida,1,No
BOEM23-004,1,9/26/2023,Haliophasma geminata,5,No
BOEM23-004,1,9/26/2023,Caecognathia crenulatifrons,1,No
BOEM23-004,1,9/26/2023,Munnogonium tillerae,2,No
BOEM23-004,1,9/26/2023,Tanaella propinquus,1,No
BOEM23-004,1,9/26/2023,Amphiodia urtica,7,No
BOEM23-004,1,9/26/2023,Mediomastus sp,22,No
BOEM23-004,1,9/26/2023,Notomastus latericeus,15,No
BOEM23-004,1,9/26/2023,Maldanidae,3,Yes
BOEM23-004,1,9/26/2023,Maldane sarsi,4,No
BOEM23-004,1,9/26/2023,Praxillella pacifica,13,No
BOEM23-004,1,9/26/2023,Chloeia pinnata,1,No
BOEM23-004,1,9/26/2023,Glycera americana,1,No
BOEM23-004,1,9/26/2023,Hemipodia simplex,1,No
BOEM23-004,1,9/26/2023,Scoletoma sp C,1,No
BOEM23-004,1,9/26/2023,Nephtys caecoides,3,No
BOEM23-004,1,9/26/2023,Mooreonuphis segmentispadix,53,No
BOEM23-004,1,9/26/2023,Pholoe glabra,1,No
BOEM23-004,1,9/26/2023,Sthenelais tertiaglabra,1,No
BOEM23-004,1,9/26/2023,Parexogone molesta,1,No
BOEM23-004,1,9/26/2023,Lysippe sp A,1,No
BOEM23-004,1,9/26/2023,Spiochaetopterus costarum Cmplx,38,No
BOEM23-004,1,9/26/2023,Cirratulidae,2,No
BOEM23-004,1,9/26/2023,Owenia johnsoni,2,No
BOEM23-004,1,9/26/2023,Dipolydora socialis,1,No
BOEM23-004,1,9/26/2023,Paraprionospio alata,13,No
BOEM23-004,1,9/26/2023,Prionospio sp,3,No
BOEM23-004,1,9/26/2023,Spiophanes berkeleyorum,16,No
BOEM23-004,1,9/26/2023,Terebellidae,8,Yes
BOEM23-004,1,9/26/2023,Pista wui,3,No
BOEM23-004,1,9/26/2023,Leitoscoloplos pugettensis,1,No
BOEM23-004,1,9/26/2023,Aricidea (Acmira) catherinae,3,No
BOEM23-004,1,9/26/2023,Aricidea (Acmira) lopezi,1,No
BOEM23-004,1,9/26/2023,Phascolion sp A,1,No
BOEM23-005,1,9/26/2023,Ascidiacea,1,No
BOEM23-005,1,9/26/2023,Cuspidaria parapodema,1,No
BOEM23-005,1,9/26/2023,Parvilucina tenuisculpta,1,No
BOEM23-005,1,9/26/2023,Tellina carpenteri,2,No
BOEM23-005,1,9/26/2023,Axinopsida serricata,3,No
BOEM23-005,1,9/26/2023,Echinoidea,3,No
BOEM23-005,1,9/26/2023,Brissopsis pacifica,6,No
BOEM23-005,1,9/26/2023,Cylichna diegensis,1,No
BOEM23-005,1,9/26/2023,Pentamera populifera,1,No
BOEM23-005,1,9/26/2023,Ampelisca agassizi,1,No
BOEM23-005,1,9/26/2023,Ampelisca careyi,1,No
BOEM23-005,1,9/26/2023,Ampelisca sp,3,No
BOEM23-005,1,9/26/2023,Tritella tenuissima,3,No
BOEM23-005,1,9/26/2023,Photis brevipes,5,No
BOEM23-005,1,9/26/2023,Westwoodilla tone,2,No
BOEM23-005,1,9/26/2023,Nicippe tumida,1,No
BOEM23-005,1,9/26/2023,Eyakia robusta,3,No
BOEM23-005,1,9/26/2023,Rhepoxynius bicuspidatus,1,No
BOEM23-005,1,9/26/2023,Diastylis crenellata,4,No
BOEM23-005,1,9/26/2023,Diastylis sentosa,1,No
BOEM23-005,1,9/26/2023,Eudorellopsis longirostris,1,No
BOEM23-005,1,9/26/2023,Campylaspis rubromaculata,1,No
BOEM23-005,1,9/26/2023,Haliophasma geminata,2,No
BOEM23-005,1,9/26/2023,Caecognathia crenulatifrons,6,No
BOEM23-005,1,9/26/2023,Ophiuroidea,1,No
BOEM23-005,1,9/26/2023,Amphiodia urtica,13,No
BOEM23-005,1,9/26/2023,Amphipholis squamata,1,No
BOEM23-005,1,9/26/2023,Euphilomedes producta,10,No
BOEM23-005,1,9/26/2023,Decamastus gracilis,4,No
BOEM23-005,1,9/26/2023,Mediomastus sp,1,No
BOEM23-005,1,9/26/2023,Maldane sarsi,1,No
BOEM23-005,1,9/26/2023,Praxillella pacifica,8,No
BOEM23-005,1,9/26/2023,Glycinde armigera,1,No
BOEM23-005,1,9/26/2023,Nephtys caecoides,2,No
BOEM23-005,1,9/26/2023,Mooreonuphis segmentispadix,5,No
BOEM23-005,1,9/26/2023,Malmgreniella scriptoria,1,No
BOEM23-005,1,9/26/2023,Spiochaetopterus costarum Cmplx,6,No
BOEM23-005,1,9/26/2023,Cirratulidae,1,No
BOEM23-005,1,9/26/2023,Pectinaria californiensis,5,No
BOEM23-005,1,9/26/2023,Laonice sp,1,No
BOEM23-005,1,9/26/2023,Paraprionospio alata,3,No
BOEM23-005,1,9/26/2023,Prionospio sp,1,No
BOEM23-005,1,9/26/2023,Spiophanes berkeleyorum,9,No
BOEM23-005,1,9/26/2023,Pista wui,3,No
BOEM23-005,1,9/26/2023,Polycirrus sp,1,No
BOEM23-005,1,9/26/2023,Nephasoma sp,12,No
BOEM23-006,1,9/27/2023,Falcidens longus,1,No
BOEM23-006,1,9/27/2023,Cuspidaria parapodema,2,No
BOEM23-006,1,9/27/2023,Axinopsida serricata,1,No
BOEM23-006,1,9/27/2023,Brissopsis pacifica,1,No
BOEM23-006,1,9/27/2023,Ampelisca careyi,1,No
BOEM23-006,1,9/27/2023,Ampelisca hancocki,2,No
BOEM23-006,1,9/27/2023,Ampelisca sp,3,No
BOEM23-006,1,9/27/2023,Caprella mendax,1,No
BOEM23-006,1,9/27/2023,Photis brevipes,5,No
BOEM23-006,1,9/27/2023,Aruga holmesi,2,No
BOEM23-006,1,9/27/2023,Westwoodilla tone,1,No
BOEM23-006,1,9/27/2023,Rhepoxynius bicuspidatus,2,No
BOEM23-006,1,9/27/2023,Diastylis crenellata,1,No
BOEM23-006,1,9/27/2023,Caecognathia crenulatifrons,1,No
BOEM23-006,1,9/27/2023,Amphiodia urtica,2,No
BOEM23-006,1,9/27/2023,Euphilomedes producta,1,No
BOEM23-006,1,9/27/2023,Decamastus gracilis,1,No
BOEM23-006,1,9/27/2023,Glycera nana,1,No
BOEM23-006,1,9/27/2023,Aglaophamus verrilli,1,No
BOEM23-006,1,9/27/2023,Nephtys ferruginea,1,No
BOEM23-006,1,9/27/2023,Onuphis sp HYP2,1,No
BOEM23-006,1,9/27/2023,Paradiopatra parva,5,No
BOEM23-006,1,9/27/2023,Spiochaetopterus costarum Cmplx,1,No
BOEM23-006,1,9/27/2023,Pectinaria californiensis,2,No
BOEM23-006,1,9/27/2023,Laonice sp,1,No
BOEM23-006,1,9/27/2023,Paraprionospio alata,5,No
BOEM23-006,1,9/27/2023,Spiophanes berkeleyorum,10,No
BOEM23-006,1,9/27/2023,Pista estevanica,1,No
BOEM23-006,1,9/27/2023,Pista wui,5,No
BOEM23-006,1,9/27/2023,Phascolion sp A,3,No
BOEM23-007,1,9/27/2023,Tubulanidae,1,No
BOEM23-007,1,9/27/2023,Halcampa decemtentaculata,3,No
BOEM23-007,1,9/27/2023,Ceriantharia,1,No
BOEM23-007,1,9/27/2023,Ennucula tenuis,1,No
BOEM23-007,1,9/27/2023,Tellina carpenteri,1,No
BOEM23-007,1,9/27/2023,Axinopsida serricata,1,No
BOEM23-007,1,9/27/2023,Amphipoda,1,No
BOEM23-007,1,9/27/2023,Ampelisca careyi,1,No
BOEM23-007,1,9/27/2023,Ampelisca pacifica,1,No
BOEM23-007,1,9/27/2023,Ampelisca sp,3,No
BOEM23-007,1,9/27/2023,Photis sp,2,No
BOEM23-007,1,9/27/2023,Protomedeia sp,2,No
BOEM23-007,1,9/27/2023,Cephalophoxoides homilis,1,No
BOEM23-007,1,9/27/2023,Rhepoxynius bicuspidatus,1,No
BOEM23-007,1,9/27/2023,Hemilamprops californicus,1,No
BOEM23-007,1,9/27/2023,Eudorella truncatula,2,No
BOEM23-007,1,9/27/2023,Haliophasma geminata,1,No
BOEM23-007,1,9/27/2023,Caecognathia crenulatifrons,3,No
BOEM23-007,1,9/27/2023,Araphura breviaria,1,No
BOEM23-007,1,9/27/2023,Tanaella propinquus,1,No
BOEM23-007,1,9/27/2023,Amphiodia urtica,41,No
BOEM23-007,1,9/27/2023,Euphilomedes producta,2,No
BOEM23-007,1,9/27/2023,Mediomastus sp,2,No
BOEM23-007,1,9/27/2023,Cossura sp,1,No
BOEM23-007,1,9/27/2023,Maldanidae,10,Yes
BOEM23-007,1,9/27/2023,Euclymeninae sp B,1,No
BOEM23-007,1,9/27/2023,Maldane sarsi,1,No
BOEM23-007,1,9/27/2023,Praxillella pacifica,4,No
BOEM23-007,1,9/27/2023,Travisia pupa,2,No
BOEM23-007,1,9/27/2023,Chloeia pinnata,7,No
BOEM23-007,1,9/27/2023,Glycinde armigera,1,No
BOEM23-007,1,9/27/2023,Lumbrineridae,1,Yes
BOEM23-007,1,9/27/2023,Lumbrineris latreilli,2,No
BOEM23-007,1,9/27/2023,Nephtyidae,1,Yes
BOEM23-007,1,9/27/2023,Aglaophamus verrilli,1,No
BOEM23-007,1,9/27/2023,Nephtys caecoides,1,No
BOEM23-007,1,9/27/2023,Mooreonuphis segmentispadix,3,No
BOEM23-007,1,9/27/2023,Pholoe glabra,4,No
BOEM23-007,1,9/27/2023,Phyllodoce groenlandica,1,No
BOEM23-007,1,9/27/2023,Sthenelais tertiaglabra,1,No
BOEM23-007,1,9/27/2023,Sthenelanella uniformis,2,No
BOEM23-007,1,9/27/2023,Ampharetidae,1,Yes
BOEM23-007,1,9/27/2023,Anobothrus gracilis,2,No
BOEM23-007,1,9/27/2023,Lysippe sp B,1,No
BOEM23-007,1,9/27/2023,Spiochaetopterus costarum Cmplx,3,No
BOEM23-007,1,9/27/2023,Cirratulidae,2,Yes
BOEM23-007,1,9/27/2023,Kirkegaardia siblina,1,No
BOEM23-007,1,9/27/2023,Bradabyssa pilosa,2,No
BOEM23-007,1,9/27/2023,Pectinaria californiensis,1,No
BOEM23-007,1,9/27/2023,Paraprionospio alata,4,No
BOEM23-007,1,9/27/2023,Prionospio sp,9,Yes
BOEM23-007,1,9/27/2023,Spiophanes berkeleyorum,42,No
BOEM23-007,1,9/27/2023,Terebellidae,2,Yes
BOEM23-007,1,9/27/2023,Pista wui,1,No
BOEM23-007,1,9/27/2023,Terebellides californica,1,No
BOEM23-007,1,9/27/2023,Levinsenia gracilis,1,No
BOEM23-007,1,9/27/2023,Polyschides quadrifissatus,1,No
BOEM23-007,1,9/27/2023,Phascolion sp A,1,No
BOEM23-008,1,9/27/2023,Gastropteron pacificum,1,No
BOEM23-008,1,9/27/2023,Ampelisca careyi,1,No
BOEM23-008,1,9/27/2023,Ampelisca hancocki,1,No
BOEM23-008,1,9/27/2023,Ampelisca pacifica,1,No
BOEM23-008,1,9/27/2023,Ampelisca sp,2,No
BOEM23-008,1,9/27/2023,Byblis sp,1,No
BOEM23-008,1,9/27/2023,Photis sp,1,No
BOEM23-008,1,9/27/2023,Aruga holmesi,1,No
BOEM23-008,1,9/27/2023,Rhepoxynius sp,1,No
BOEM23-008,1,9/27/2023,Diastylis crenellata,5,No
BOEM23-008,1,9/27/2023,Eudorella truncatula,2,No
BOEM23-008,1,9/27/2023,Caecognathia crenulatifrons,4,No
BOEM23-008,1,9/27/2023,Munnogonium tillerae,1,No
BOEM23-008,1,9/27/2023,Pleurogonium sp A,1,No
BOEM23-008,1,9/27/2023,Chondrochelia dubia Cmplx,1,No
BOEM23-008,1,9/27/2023,Amphiodia urtica,29,No
BOEM23-008,1,9/27/2023,Cylindroleberididae,1,No
BOEM23-008,1,9/27/2023,Euphilomedes producta,7,No
BOEM23-008,1,9/27/2023,Harbansus sp SD1,1,No
BOEM23-008,1,9/27/2023,Decamastus gracilis,10,No
BOEM23-008,1,9/27/2023,Mediomastus sp,13,No
BOEM23-008,1,9/27/2023,Cossura sp A,3,No
BOEM23-008,1,9/27/2023,Travisia pupa,2,No
BOEM23-008,1,9/27/2023,Chloeia pinnata,10,No
BOEM23-008,1,9/27/2023,Glycera americana,2,No
BOEM23-008,1,9/27/2023,Lumbrineridae,1,Yes
BOEM23-008,1,9/27/2023,Lumbrineris latreilli,5,No
BOEM23-008,1,9/27/2023,Nephtys ferruginea,1,No
BOEM23-008,1,9/27/2023,Onuphis sp HYP2,6,No
BOEM23-008,1,9/27/2023,Pholoe glabra,6,No
BOEM23-008,1,9/27/2023,Phyllodoce groenlandica,1,No
BOEM23-008,1,9/27/2023,Parexogone molesta,2,No
BOEM23-008,1,9/27/2023,Cirratulidae,3,No
BOEM23-008,1,9/27/2023,Pectinaria californiensis,2,No
BOEM23-008,1,9/27/2023,Paraprionospio alata,8,No
BOEM23-008,1,9/27/2023,Prionospio sp,14,No
BOEM23-008,1,9/27/2023,Spiophanes berkeleyorum,13,No
BOEM23-008,1,9/27/2023,Sternaspis affinis,4,No
BOEM23-008,1,9/27/2023,Amage anops,3,No
BOEM23-008,1,9/27/2023,Terebellides californica,1,No
BOEM23-008,1,9/27/2023,Aricidea (Acmira) catherinae,1,No
BOEM23-008,1,9/27/2023,Levinsenia gracilis,3,No
BOEM23-009,1,9/27/2023,Actiniaria,2,No
BOEM23-009,1,9/27/2023,Stylatula sp,0,No
BOEM23-009,1,9/27/2023,Falcidens longus,1,No
BOEM23-009,1,9/27/2023,Cuspidaria parapodema,1,No
BOEM23-009,1,9/27/2023,Parvilucina tenuisculpta,1,No
BOEM23-009,1,9/27/2023,Molpadia intermedia,1,No
BOEM23-009,1,9/27/2023,Ampelisca careyi,1,No
BOEM23-009,1,9/27/2023,Ampelisca hancocki,1,No
BOEM23-009,1,9/27/2023,Ampelisca pacifica,1,No
BOEM23-009,1,9/27/2023,Ampelisca sp,6,No
BOEM23-009,1,9/27/2023,Byblis sp,1,No
BOEM23-009,1,9/27/2023,Protomedeia sp,1,No
BOEM23-009,1,9/27/2023,Nicippe tumida,2,No
BOEM23-009,1,9/27/2023,Cephalophoxoides homilis,2,No
