stationid,replicate,sampledate,taxon,abundance,exclude
BOEM23-009,1,9/27/2023,Rhepoxynius bicuspidatus,2,No
BOEM23-009,1,9/27/2023,Diastylis crenellata,1,No
BOEM23-009,1,9/27/2023,Eudorella truncatula,4,No
BOEM23-009,1,9/27/2023,Haliophasma geminata,1,No
BOEM23-009,1,9/27/2023,Caecognathia crenulatifrons,1,No
BOEM23-009,1,9/27/2023,Amphiodia urtica,44,No
BOEM23-009,1,9/27/2023,Euphilomedes producta,6,No
BOEM23-009,1,9/27/2023,Decamastus gracilis,1,No
BOEM23-009,1,9/27/2023,Mediomastus sp,4,No
BOEM23-009,1,9/27/2023,Cossura sp A,1,No
BOEM23-009,1,9/27/2023,Maldanidae,2,Yes
BOEM23-009,1,9/27/2023,Maldane sarsi,6,No
BOEM23-009,1,9/27/2023,Praxillella gracilis,1,No
BOEM23-009,1,9/27/2023,Praxillella pacifica,1,No
BOEM23-009,1,9/27/2023,Travisia pupa,1,No
BOEM23-009,1,9/27/2023,Acoetes pacifica,1,No
BOEM23-009,1,9/27/2023,Chloeia pinnata,6,No
BOEM23-009,1,9/27/2023,Aglaophamus verrilli,5,No
BOEM23-009,1,9/27/2023,Nephtys caecoides,1,No
BOEM23-009,1,9/27/2023,Nephtys ferruginea,1,No
BOEM23-009,1,9/27/2023,Mooreonuphis segmentispadix,7,No
BOEM23-009,1,9/27/2023,Pholoe glabra,2,No
BOEM23-009,1,9/27/2023,Spiochaetopterus costarum Cmplx,2,No
BOEM23-009,1,9/27/2023,Chaetozone hartmanae,1,No
BOEM23-009,1,9/27/2023,Paraprionospio alata,2,No
BOEM23-009,1,9/27/2023,Prionospio sp,4,No
BOEM23-009,1,9/27/2023,Spiophanes berkeleyorum,21,No
BOEM23-009,1,9/27/2023,Sternaspis affinis,1,No
BOEM23-009,1,9/27/2023,Levinsenia gracilis,2,No
BOEM23-009,1,9/27/2023,Nephasoma sp,1,No
BOEM23-010,1,9/27/2023,Tubulanidae,5,No
BOEM23-010,1,9/27/2023,Cuspidaria parapodema,2,No
BOEM23-010,1,9/27/2023,Parvilucina tenuisculpta,1,No
BOEM23-010,1,9/27/2023,Tellina carpenteri,2,No
BOEM23-010,1,9/27/2023,Oligochaeta,1,No
BOEM23-010,1,9/27/2023,Echinoidea,1,No
BOEM23-010,1,9/27/2023,Epitonium sawinae,1,No
BOEM23-010,1,9/27/2023,Pentamera pediparva,1,No
BOEM23-010,1,9/27/2023,Amphipoda,1,No
BOEM23-010,1,9/27/2023,Ampelisca sp,4,No
BOEM23-010,1,9/27/2023,Photis brevipes,3,No
BOEM23-010,1,9/27/2023,Photis lacia,3,No
BOEM23-010,1,9/27/2023,Photis sp,3,No
BOEM23-010,1,9/27/2023,Oedicerotidae,1,No
BOEM23-010,1,9/27/2023,Nicippe tumida,1,No
BOEM23-010,1,9/27/2023,Cephalophoxoides homilis,3,No
BOEM23-010,1,9/27/2023,Rhepoxynius bicuspidatus,1,No
BOEM23-010,1,9/27/2023,Diastylis crenellata,17,No
BOEM23-010,1,9/27/2023,Eudorella truncatula,10,No
BOEM23-010,1,9/27/2023,Eudorellopsis longirostris,5,No
BOEM23-010,1,9/27/2023,Decapoda,1,No
BOEM23-010,1,9/27/2023,Caecognathia crenulatifrons,5,No
BOEM23-010,1,9/27/2023,Ilyarachna acarina,1,No
BOEM23-010,1,9/27/2023,Akanthophoreus cf gracilis,1,No
BOEM23-010,1,9/27/2023,Chondrochelia dubia Cmplx,1,No
BOEM23-010,1,9/27/2023,Tanaella propinquus,5,No
BOEM23-010,1,9/27/2023,Amphichondrius granulatus,5,No
BOEM23-010,1,9/27/2023,Amphiodia digitata,7,No
BOEM23-010,1,9/27/2023,Amphiodia urtica,1,No
BOEM23-010,1,9/27/2023,Dougaloplus amphacanthus,2,No
BOEM23-010,1,9/27/2023,Euphilomedes producta,22,No
BOEM23-010,1,9/27/2023,Decamastus gracilis,11,No
BOEM23-010,1,9/27/2023,Mediomastus sp,121,No
BOEM23-010,1,9/27/2023,Cossura sp A,4,No
BOEM23-010,1,9/27/2023,Euclymeninae,5,Yes
BOEM23-010,1,9/27/2023,Maldane sarsi,2,No
BOEM23-010,1,9/27/2023,Praxillella pacifica,1,No
BOEM23-010,1,9/27/2023,Travisia pupa,1,No
BOEM23-010,1,9/27/2023,Chloeia pinnata,2,No
BOEM23-010,1,9/27/2023,Marphysa sp,1,No
BOEM23-010,1,9/27/2023,Glycera americana,5,No
BOEM23-010,1,9/27/2023,Glycinde armigera,2,No
BOEM23-010,1,9/27/2023,Lumbrineris latreilli,5,No
BOEM23-010,1,9/27/2023,Scoletoma tetraura Cmplx,1,No
BOEM23-010,1,9/27/2023,Nephtys ferruginea,5,No
BOEM23-010,1,9/27/2023,Mooreonuphis segmentispadix,33,No
BOEM23-010,1,9/27/2023,Pholoe glabra,1,No
BOEM23-010,1,9/27/2023,Eteone pigmentata,1,No
BOEM23-010,1,9/27/2023,Phyllodoce groenlandica,1,No
BOEM23-010,1,9/27/2023,Malmgreniella sp A,1,No
BOEM23-010,1,9/27/2023,Exogone lourei,4,No
BOEM23-010,1,9/27/2023,Parexogone molesta,1,No
BOEM23-010,1,9/27/2023,Spiochaetopterus costarum Cmplx,9,No
BOEM23-010,1,9/27/2023,Cirratulidae,23,Yes
BOEM23-010,1,9/27/2023,Kirkegaardia siblina,2,No
BOEM23-010,1,9/27/2023,Pectinaria californiensis,1,No
BOEM23-010,1,9/27/2023,Sabellidae,2,No
BOEM23-010,1,9/27/2023,Euchone incolor,1,No
BOEM23-010,1,9/27/2023,Laonice nuchala,3,No
BOEM23-010,1,9/27/2023,Paraprionospio alata,7,No
BOEM23-010,1,9/27/2023,Prionospio lighti,1,No
BOEM23-010,1,9/27/2023,Prionospio sp,12,Yes
BOEM23-010,1,9/27/2023,Spiophanes berkeleyorum,33,No
BOEM23-010,1,9/27/2023,Phisidia sanctaemariae,24,No
BOEM23-010,1,9/27/2023,Pista wui,3,No
BOEM23-010,1,9/27/2023,Aricidea (Acmira) catherinae,7,No
BOEM23-010,1,9/27/2023,Cirrophorus branchiatus,2,No
BOEM23-010,1,9/27/2023,Levinsenia gracilis,10,No
BOEM23-010,1,9/27/2023,Phascolion sp A,4,No
BOEM23-011,1,9/25/2023,Phoronis sp,7,No
BOEM23-011,1,9/25/2023,Listriolobus pelodes,2,No
BOEM23-011,1,9/25/2023,Edwardsia sp,1,No
BOEM23-011,1,9/25/2023,Virgularia agassizii,0,No
BOEM23-011,1,9/25/2023,Bivalvia,5,No
BOEM23-011,1,9/25/2023,Parvilucina tenuisculpta,1,No
BOEM23-011,1,9/25/2023,Tellina carpenteri,1,No
BOEM23-011,1,9/25/2023,Axinopsida serricata,2,No
BOEM23-011,1,9/25/2023,Compsomyax subdiaphana,4,No
BOEM23-011,1,9/25/2023,Schizocardium sp,1,No
BOEM23-011,1,9/25/2023,Philine auriformis,1,No
BOEM23-011,1,9/25/2023,Molpadia intermedia,1,No
BOEM23-011,1,9/25/2023,Protomedeia articulata Cmplx,8,No
BOEM23-011,1,9/25/2023,Listriella eriopisa,1,No
BOEM23-011,1,9/25/2023,Listriella goleta,3,No
BOEM23-011,1,9/25/2023,Aruga holmesi,1,No
BOEM23-011,1,9/25/2023,Heterophoxus conlanae,1,No
BOEM23-011,1,9/25/2023,Rathbunixa occidentalis Cmplx,1,No
BOEM23-011,1,9/25/2023,Caecognathia crenulatifrons,1,No
BOEM23-011,1,9/25/2023,Ophiuroidea,5,No
BOEM23-011,1,9/25/2023,Amphiodia urtica,6,No
BOEM23-011,1,9/25/2023,Marphysa disjuncta,1,No
BOEM23-011,1,9/25/2023,Lumbrineridae,1,Yes
BOEM23-011,1,9/25/2023,Eranno lagunae,3,No
BOEM23-011,1,9/25/2023,Aglaophamus verrilli,2,No
BOEM23-011,1,9/25/2023,Nephtys ferruginea,1,No
BOEM23-011,1,9/25/2023,Gymnonereis crosslandi,23,No
BOEM23-011,1,9/25/2023,Diopatra sp,1,No
BOEM23-011,1,9/25/2023,Malmgreniella baschi,2,No
BOEM23-011,1,9/25/2023,Poecilochaetus martini,2,No
BOEM23-011,1,9/25/2023,Poecilochaetus sp,3,Yes
BOEM23-011,1,9/25/2023,Spionidae,1,No
BOEM23-011,1,9/25/2023,Paraprionospio alata,5,No
BOEM23-011,1,9/25/2023,Spiophanes berkeleyorum,3,No
BOEM23-011,1,9/25/2023,Sternaspis affinis,2,No
BOEM23-011,1,9/25/2023,Terebellides sp,3,No
BOEM23-012,1,9/25/2023,Nemertea,2,No
BOEM23-012,1,9/25/2023,Listriolobus pelodes,1,No
BOEM23-012,1,9/25/2023,Edwardsia sp,2,No
BOEM23-012,1,9/25/2023,Astropecten californicus,1,No
BOEM23-012,1,9/25/2023,Bivalvia,4,No
BOEM23-012,1,9/25/2023,Periploma planiusculum,1,No
BOEM23-012,1,9/25/2023,Nuculana sp A,2,No
BOEM23-012,1,9/25/2023,Kurtiella tumida,1,No
BOEM23-012,1,9/25/2023,Ampelisca pacifica,2,No
BOEM23-012,1,9/25/2023,Byblis millsi,1,No
BOEM23-012,1,9/25/2023,Rathbunixa occidentalis Cmplx,1,No
BOEM23-012,1,9/25/2023,Amphiodia digitata,5,No
BOEM23-012,1,9/25/2023,Amphiodia urtica,7,No
BOEM23-012,1,9/25/2023,Euclymeninae,1,No
BOEM23-012,1,9/25/2023,Maldane sarsi,1,No
BOEM23-012,1,9/25/2023,Rhodine bitorquata,1,No
BOEM23-012,1,9/25/2023,Aglaophamus verrilli,11,No
BOEM23-012,1,9/25/2023,Nephtys ferruginea,1,No
BOEM23-012,1,9/25/2023,Gymnonereis crosslandi,1,No
BOEM23-012,1,9/25/2023,Paradiopatra parva,3,No
BOEM23-012,1,9/25/2023,Spiophanes berkeleyorum,8,No
BOEM23-012,1,9/25/2023,Terebellides californica,3,No
BOEM23-013,1,9/25/2023,Tubulanidae,1,No
BOEM23-013,1,9/25/2023,Bivalvia,1,No
BOEM23-013,1,9/25/2023,Compsomyax subdiaphana,1,No
BOEM23-013,1,9/25/2023,Oligochaeta,2,No
BOEM23-013,1,9/25/2023,Cephalaspidea,1,No
BOEM23-013,1,9/25/2023,Chiridota sp,1,No
BOEM23-013,1,9/25/2023,Ampelisca hancocki,1,No
BOEM23-013,1,9/25/2023,Ampelisca sp,1,No
BOEM23-013,1,9/25/2023,Amphideutopus oculatus,1,No
BOEM23-013,1,9/25/2023,Protomedeia articulata Cmplx,5,No
BOEM23-013,1,9/25/2023,Caecognathia crenulatifrons,1,No
BOEM23-013,1,9/25/2023,Ophiuroidea,2,No
BOEM23-013,1,9/25/2023,Amphiodia digitata,2,No
BOEM23-013,1,9/25/2023,Dougaloplus amphacanthus,1,No
BOEM23-013,1,9/25/2023,Capitella capitata Cmplx,2,No
BOEM23-013,1,9/25/2023,Mediomastus sp,11,No
BOEM23-013,1,9/25/2023,Cossura candida,1,No
BOEM23-013,1,9/25/2023,Cossura sp A,1,No
BOEM23-013,1,9/25/2023,Euclymeninae,1,No
BOEM23-013,1,9/25/2023,Maldane sarsi,1,No
BOEM23-013,1,9/25/2023,Leodice americana,1,No
BOEM23-013,1,9/25/2023,Marphysa disjuncta,1,No
BOEM23-013,1,9/25/2023,Glycera nana,1,No
BOEM23-013,1,9/25/2023,Lumbrineridae,2,Yes
BOEM23-013,1,9/25/2023,Eranno lagunae,5,No
BOEM23-013,1,9/25/2023,Aglaophamus verrilli,2,No
BOEM23-013,1,9/25/2023,Nephtys ferruginea,1,No
BOEM23-013,1,9/25/2023,Gymnonereis crosslandi,9,No
BOEM23-013,1,9/25/2023,Sthenelais tertiaglabra,1,No
BOEM23-013,1,9/25/2023,Cirratulidae,1,No
BOEM23-013,1,9/25/2023,Poecilochaetus martini,1,No
BOEM23-013,1,9/25/2023,Paraprionospio alata,1,No
BOEM23-013,1,9/25/2023,Prionospio lighti,5,No
BOEM23-013,1,9/25/2023,Prionospio sp,2,No
BOEM23-013,1,9/25/2023,Spiophanes berkeleyorum,5,No
BOEM23-013,1,9/25/2023,Pista elongata,2,No
BOEM23-013,1,9/25/2023,Terebellides sp,2,Yes
BOEM23-013,1,9/25/2023,Terebellides sp Type C,1,No
BOEM23-013,1,9/25/2023,Levinsenia gracilis,5,No
BOEM23-014,1,9/25/2023,Listriolobus pelodes,1,No
BOEM23-014,1,9/25/2023,Tubulanidae,2,No
BOEM23-014,1,9/25/2023,Edwardsia sp,2,No
BOEM23-014,1,9/25/2023,Bivalvia,4,No
BOEM23-014,1,9/25/2023,Ennucula tenuis,1,No
BOEM23-014,1,9/25/2023,Kurtiella tumida,3,No
BOEM23-014,1,9/25/2023,Tellina carpenteri,1,No
BOEM23-014,1,9/25/2023,Compsomyax subdiaphana,2,No
BOEM23-014,1,9/25/2023,Schizocardium sp,2,No
BOEM23-014,1,9/25/2023,Philine sp,1,No
BOEM23-014,1,9/25/2023,Protomedeia articulata Cmplx,9,No
BOEM23-014,1,9/25/2023,Rathbunixa occidentalis Cmplx,1,No
BOEM23-014,1,9/25/2023,Mediomastus sp,2,No
BOEM23-014,1,9/25/2023,Cossura sp A,5,No
BOEM23-014,1,9/25/2023,Euclymeninae,1,No
BOEM23-014,1,9/25/2023,Maldanidae,1,Yes
BOEM23-014,1,9/25/2023,Maldane sarsi,1,No
BOEM23-014,1,9/25/2023,Ninoe tridentata,1,No
BOEM23-014,1,9/25/2023,Scoletoma sp C,3,No
BOEM23-014,1,9/25/2023,Aglaophamus verrilli,5,No
BOEM23-014,1,9/25/2023,Gymnonereis crosslandi,6,No
BOEM23-014,1,9/25/2023,Paradiopatra parva,2,No
BOEM23-014,1,9/25/2023,Cirratulidae,3,No
BOEM23-014,1,9/25/2023,Dipolydora socialis,2,No
BOEM23-014,1,9/25/2023,Laonice sp,1,No
BOEM23-014,1,9/25/2023,Paraprionospio alata,2,No
BOEM23-014,1,9/25/2023,Spiophanes berkeleyorum,6,No
BOEM23-014,1,9/25/2023,Pista sp,1,No
BOEM23-014,1,9/25/2023,Terebellides sp,4,No
BOEM23-014,1,9/25/2023,Levinsenia gracilis,7,No
BOEM23-014,1,9/25/2023,Antalis pretiosa,1,No
BOEM23-015,1,9/25/2023,Listriolobus pelodes,1,No
BOEM23-015,1,9/25/2023,Bivalvia,6,No
BOEM23-015,1,9/25/2023,Thracia trapezoides,1,No
BOEM23-015,1,9/25/2023,Ennucula tenuis,3,No
BOEM23-015,1,9/25/2023,Tellina carpenteri,2,No
BOEM23-015,1,9/25/2023,Axinopsida serricata,3,No
BOEM23-015,1,9/25/2023,Compsomyax subdiaphana,1,No
BOEM23-015,1,9/25/2023,Schizocardium sp,1,No
BOEM23-015,1,9/25/2023,Glottidia albida,1,No
BOEM23-015,1,9/25/2023,Ampelisca brevisimulata,4,No
BOEM23-015,1,9/25/2023,Ampelisca pacifica,1,No
BOEM23-015,1,9/25/2023,Ampelisca sp,3,No
BOEM23-015,1,9/25/2023,Protomedeia articulata Cmplx,18,No
BOEM23-015,1,9/25/2023,Listriella goleta,3,No
BOEM23-015,1,9/25/2023,Heterophoxus conlanae,4,No
BOEM23-015,1,9/25/2023,Rathbunixa occidentalis Cmplx,3,No
BOEM23-015,1,9/25/2023,Ophiuroidea,1,No
BOEM23-015,1,9/25/2023,Amphiodia digitata,3,No
BOEM23-015,1,9/25/2023,Dougaloplus amphacanthus,2,No
BOEM23-015,1,9/25/2023,Cossura sp A,2,No
BOEM23-015,1,9/25/2023,Maldanidae,1,No
BOEM23-015,1,9/25/2023,Leodice americana,1,No
BOEM23-015,1,9/25/2023,Marphysa disjuncta,9,No
BOEM23-015,1,9/25/2023,Glycera nana,1,No
BOEM23-015,1,9/25/2023,Eranno lagunae,2,No
BOEM23-015,1,9/25/2023,Aglaophamus verrilli,1,No
BOEM23-015,1,9/25/2023,Gymnonereis crosslandi,9,No
BOEM23-015,1,9/25/2023,Paradiopatra parva,1,No
BOEM23-015,1,9/25/2023,Phyllodoce groenlandica,1,No
BOEM23-015,1,9/25/2023,Malmgreniella baschi,1,No
BOEM23-015,1,9/25/2023,Tenonia priops,1,No
BOEM23-015,1,9/25/2023,Sthenelais berkeleyi,1,No
BOEM23-015,1,9/25/2023,Poecilochaetus martini,4,No
BOEM23-015,1,9/25/2023,Boccardia proboscidea,1,No
BOEM23-015,1,9/25/2023,Paraprionospio alata,3,No
BOEM23-015,1,9/25/2023,Spiophanes berkeleyorum,13,No
BOEM23-015,1,9/25/2023,Sternaspis affinis,1,No
BOEM23-015,1,9/25/2023,Terebellinae,1,No
BOEM23-015,1,9/25/2023,Amaeana sp,1,No
BOEM23-015,1,9/25/2023,Terebellides californica,4,No
BOEM23-015,1,9/25/2023,Levinsenia gracilis,1,No
BOEM23-015,1,9/25/2023,Antalis pretiosa,1,No
BOEM23-016,1,9/25/2023,Tubulanidae,2,No
BOEM23-016,1,9/25/2023,Edwardsia sp,4,No
BOEM23-016,1,9/25/2023,Bivalvia,3,No
BOEM23-016,1,9/25/2023,Keenaea centifilosa,1,No
BOEM23-016,1,9/25/2023,Kurtiella tumida,1,No
BOEM23-016,1,9/25/2023,Tellina carpenteri,1,No
BOEM23-016,1,9/25/2023,Compsomyax subdiaphana,2,No
BOEM23-016,1,9/25/2023,Schizocardium sp,1,No
BOEM23-016,1,9/25/2023,Protomedeia articulata Cmplx,2,No
BOEM23-016,1,9/25/2023,Listriella goleta,2,No
BOEM23-016,1,9/25/2023,Rathbunixa occidentalis Cmplx,2,No
BOEM23-016,1,9/25/2023,Scleroplax schmitti,1,No
BOEM23-016,1,9/25/2023,Caecognathia crenulatifrons,2,No
BOEM23-016,1,9/25/2023,Ophiuroidea,8,No
BOEM23-016,1,9/25/2023,Amphiodia digitata,4,No
BOEM23-016,1,9/25/2023,Euclymeninae,1,Yes
BOEM23-016,1,9/25/2023,Metasychis disparidentatus,1,No
BOEM23-016,1,9/25/2023,Praxillella pacifica,2,No
BOEM23-016,1,9/25/2023,Glycera nana,1,No
BOEM23-016,1,9/25/2023,Aglaophamus verrilli,1,No
BOEM23-016,1,9/25/2023,Gymnonereis crosslandi,6,No
BOEM23-016,1,9/25/2023,Paradiopatra parva,2,No
BOEM23-016,1,9/25/2023,Pectinaria californiensis,2,No
BOEM23-016,1,9/25/2023,Poecilochaetus sp,1,No
BOEM23-016,1,9/25/2023,Spiophanes berkeleyorum,14,No
BOEM23-016,1,9/25/2023,Pista estevanica,1,No
BOEM23-016,1,9/25/2023,Terebellides californica,1,No
BOEM23-016,1,9/25/2023,Antalis pretiosa,1,No
BOEM23-017,1,9/25/2023,Tubulanidae,4,No
BOEM23-017,1,9/25/2023,Edwardsia sp,1,No
BOEM23-017,1,9/25/2023,Ceriantharia,1,No
BOEM23-017,1,9/25/2023,Ennucula tenuis,1,No
BOEM23-017,1,9/25/2023,Parvilucina tenuisculpta,1,No
BOEM23-017,1,9/25/2023,Tellina carpenteri,1,No
BOEM23-017,1,9/25/2023,Axinopsida serricata,3,No
BOEM23-017,1,9/25/2023,Compsomyax subdiaphana,1,No
BOEM23-017,1,9/25/2023,Schizocardium sp,1,No
BOEM23-017,1,9/25/2023,Kurtzia arteaga,1,No
BOEM23-017,1,9/25/2023,Ampelisca pacifica,3,No
BOEM23-017,1,9/25/2023,Protomedeia articulata Cmplx,3,No
BOEM23-017,1,9/25/2023,Listriella goleta,2,No
BOEM23-017,1,9/25/2023,Caecognathia crenulatifrons,4,No
BOEM23-017,1,9/25/2023,Amphiodia digitata,8,No
BOEM23-017,1,9/25/2023,Maldane sarsi,2,No
BOEM23-017,1,9/25/2023,Aglaophamus verrilli,5,No
BOEM23-017,1,9/25/2023,Gymnonereis crosslandi,2,No
BOEM23-017,1,9/25/2023,Phyllodoce groenlandica,1,No
BOEM23-017,1,9/25/2023,Melinna oculata,1,No
BOEM23-017,1,9/25/2023,Amage scutata,1,No
BOEM23-017,1,9/25/2023,Paraprionospio alata,1,No
BOEM23-017,1,9/25/2023,Spiophanes berkeleyorum,3,No
BOEM23-017,1,9/25/2023,Terebellides californica,1,No
BOEM23-017,1,9/25/2023,Terebellides sp Type C,7,No
BOEM23-017,1,9/25/2023,Levinsenia gracilis,1,No
BOEM23-018,1,9/25/2023,Phoronis sp,4,No
BOEM23-018,1,9/25/2023,Listriolobus pelodes,2,No
BOEM23-018,1,9/25/2023,Tubulanidae,2,No
BOEM23-018,1,9/25/2023,Cerebratulus californiensis,1,No
BOEM23-018,1,9/25/2023,Edwardsia sp,2,No
BOEM23-018,1,9/25/2023,Bivalvia,1,No
BOEM23-018,1,9/25/2023,Lyonsia sp,1,No
BOEM23-018,1,9/25/2023,Pandora sp,1,No
BOEM23-018,1,9/25/2023,Saxicavella pacifica,4,No
BOEM23-018,1,9/25/2023,Crenella decussata,1,No
BOEM23-018,1,9/25/2023,Ennucula tenuis,1,No
BOEM23-018,1,9/25/2023,Macoma sp,1,No
BOEM23-018,1,9/25/2023,Tellina carpenteri,2,No
BOEM23-018,1,9/25/2023,Axinopsida serricata,3,No
BOEM23-018,1,9/25/2023,Compsomyax subdiaphana,2,No
BOEM23-018,1,9/25/2023,Kurtzia arteaga,2,No
BOEM23-018,1,9/25/2023,Leptosynapta sp,1,No
BOEM23-018,1,9/25/2023,Molpadia intermedia,1,No
BOEM23-018,1,9/25/2023,Glottidia albida,1,No
BOEM23-018,1,9/25/2023,Ampelisca pacifica,2,No
BOEM23-018,1,9/25/2023,Ampelisca sp,4,No
BOEM23-018,1,9/25/2023,Byblis millsi,2,No
BOEM23-018,1,9/25/2023,Amphideutopus oculatus,8,No
BOEM23-018,1,9/25/2023,Caprella mendax,2,No
BOEM23-018,1,9/25/2023,Protomedeia articulata Cmplx,9,No
BOEM23-018,1,9/25/2023,Listriella goleta,3,No
BOEM23-018,1,9/25/2023,Oedicerotidae,1,No
BOEM23-018,1,9/25/2023,Westwoodilla tone,1,No
BOEM23-018,1,9/25/2023,Caecognathia crenulatifrons,3,No
BOEM23-018,1,9/25/2023,Chondrochelia dubia Cmplx,1,No
BOEM23-018,1,9/25/2023,Ophiuroidea,4,No
BOEM23-018,1,9/25/2023,Amphiodia digitata,20,No
BOEM23-018,1,9/25/2023,Ophiura luetkenii,1,No
BOEM23-018,1,9/25/2023,Capitella capitata Cmplx,2,No
BOEM23-018,1,9/25/2023,Mediomastus sp,3,No
BOEM23-018,1,9/25/2023,Euclymeninae sp A,5,No
BOEM23-018,1,9/25/2023,Rhodine bitorquata,1,No
BOEM23-018,1,9/25/2023,Aphrodita sp,1,No
BOEM23-018,1,9/25/2023,Leodice americana,2,No
BOEM23-018,1,9/25/2023,Glycera nana,1,No
BOEM23-018,1,9/25/2023,Eranno lagunae,1,No
BOEM23-018,1,9/25/2023,Aglaophamus verrilli,2,No
BOEM23-018,1,9/25/2023,Gymnonereis crosslandi,20,No
BOEM23-018,1,9/25/2023,Paradiopatra parva,3,No
BOEM23-018,1,9/25/2023,Phyllodoce groenlandica,1,No
BOEM23-018,1,9/25/2023,Malmgreniella baschi,3,No
BOEM23-018,1,9/25/2023,Sthenelais berkeleyi,1,No
BOEM23-018,1,9/25/2023,Glyphanostomum pallescens,1,No
BOEM23-018,1,9/25/2023,Melinna oculata,1,No
BOEM23-018,1,9/25/2023,Pectinaria californiensis,1,No
BOEM23-018,1,9/25/2023,Dipolydora socialis,1,No
BOEM23-018,1,9/25/2023,Paraprionospio alata,3,No
BOEM23-018,1,9/25/2023,Spiophanes berkeleyorum,10,No
BOEM23-018,1,9/25/2023,Sternaspis affinis,3,No
BOEM23-018,1,9/25/2023,Trichobranchus hancocki,3,No
BOEM23-018,1,9/25/2023,Terebellides sp Type C,5,No
BOEM23-018,1,9/25/2023,Levinsenia gracilis,1,No
BOEM23-018,1,9/25/2023,Antalis pretiosa,1,No
BOEM23-019,1,9/27/2023,Virgulariidae,0,No
BOEM23-019,1,9/27/2023,Nuculana sp A,1,No
BOEM23-019,1,9/27/2023,Molpadia intermedia,1,No
BOEM23-019,1,9/27/2023,Ophiuroidea,3,No
BOEM23-019,1,9/27/2023,Amphiodia digitata,2,No
BOEM23-019,1,9/27/2023,Antalis pretiosa,1,No
BOEM23-020,1,9/27/2023,Haliophasma geminata,2,No
BOEM23-020,1,9/27/2023,Amphiodia digitata,6,No
